Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc2,2,PSPower,0.9508751469366965,0.6490605827527117,1.2526897111206812,1.0
50,sc2,2,IW,1.0083967240097287,0.6762982700086597,1.3404951780107977,1.0
50,sc2,2,Commensurate,0.9846108907151084,0.7087931157705031,1.2607692435512403,1.0
50,sc2,2,NPE,1.4137279987335205,0.7617695421056333,2.0720010987999737,1.0
50,sc2,3,PSPower,1.061897015310148,0.8031734821463079,1.320620548473988,1.0
50,sc2,3,IW,1.103461660063999,0.8008633808272544,1.4060599393007438,1.0
50,sc2,3,Commensurate,1.1017595564133866,0.8478777535379326,1.3647186585419173,1.0
50,sc2,3,NPE,1.4653117656707764,0.8128161372291206,2.121841688729661,1.0
50,sc2,4,PSPower,0.9521096354915306,0.59205813865296,1.3121611323301012,1.0
50,sc2,4,IW,0.8879630632536787,0.4809530885542428,1.2949730379531146,1.0
50,sc2,4,Commensurate,0.8859257453111444,0.5624101323266764,1.2190046922231903,1.0
50,sc2,4,NPE,1.4916365146636963,0.8018776084016984,2.1621891745788315,1.0
50,sc2,5,PSPower,1.0239764012564567,0.7491005094938485,1.298852293019065,1.0
50,sc2,5,IW,1.044958226447822,0.7446413277780777,1.3452751251175665,1.0
50,sc2,5,Commensurate,1.0683690655827485,0.8051396037187077,1.3393763649823316,1.0
50,sc2,5,NPE,1.2556747198104858,0.662953094093428,1.8458484278318055,1.0
