Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc4,22,PSPower,-0.015920794682171804,-0.3238677485410091,0.2920261591766655,0.0
50,sc4,22,IW,-0.038588433745628405,-0.38191246322643857,0.3047355957351817,0.0
50,sc4,22,Commensurate,-0.02852136197555815,-0.2937141574330136,0.24518596860382172,0.0
50,sc4,22,NPE,0.37585875391960144,-0.18797728346079912,0.9502879439337351,0.0
50,sc4,23,PSPower,0.06925024437005343,-0.31391858040498094,0.45241906914508784,0.0
50,sc4,23,IW,0.09977132506991455,-0.313148205264433,0.5126908554042621,0.0
50,sc4,23,Commensurate,0.05703434910491788,-0.29455000318694846,0.42451082477972324,0.0
50,sc4,23,NPE,0.3571692109107971,-0.1855226304893257,0.9010234409799875,0.0
50,sc4,24,PSPower,0.25594627616194704,-0.08834759388970115,0.6002401462135952,0.0
50,sc4,24,IW,0.27405325108053236,-0.1272632228832128,0.6753697250442775,0.0
50,sc4,24,Commensurate,0.1723388715589345,-0.14101081058881967,0.47521772284999264,0.0
50,sc4,24,NPE,0.4434138536453247,-0.09092189742516657,1.008576024545004,0.0
50,sc4,25,PSPower,0.0493460066547614,-0.2738448565326385,0.37253686984216133,0.0
50,sc4,25,IW,0.0306792223078001,-0.3238288371458845,0.38518728176148476,0.0
50,sc4,25,Commensurate,0.006245438488191182,-0.2959206445660086,0.3044429641967605,0.0
50,sc4,25,NPE,0.5640906691551208,0.013936824380940247,1.1140676870390005,0.0
50,sc4,26,PSPower,-0.205574637083091,-0.5253045621931364,0.11415528802695432,0.0
50,sc4,26,IW,-0.2117068055538082,-0.5678944880705192,0.14448087696290288,0.0
50,sc4,26,Commensurate,-0.19462014885055298,-0.4762860988500453,0.08262406257536463,0.0
50,sc4,26,NPE,0.032100334763526917,-0.4529289818169343,0.5041645228979631,0.0
50,sc4,27,PSPower,0.20543474993198785,-0.08027674620833902,0.4911462460723147,0.0
50,sc4,27,IW,0.24745316605944703,-0.07567016175569927,0.5705764938745933,0.0
50,sc4,27,Commensurate,0.17391264219918434,-0.09188973789958414,0.43857116546475644,0.0
50,sc4,27,NPE,0.5669748783111572,0.01754602877949305,1.1083568764429708,0.0
50,sc4,28,PSPower,-0.27580507322016085,-0.5516767082384142,6.656179809255702e-05,0.0
50,sc4,28,IW,-0.29618866958368845,-0.6223890968106861,0.03001175764330921,0.0
50,sc4,28,Commensurate,-0.22927256026311507,-0.4976565438314968,0.04177772414089332,0.0
50,sc4,28,NPE,-0.09901972115039825,-0.8393174842487037,0.640704115837193,0.0
50,sc4,29,PSPower,-0.05834364279689165,-0.37925178791145403,0.26256450231767076,0.0
50,sc4,29,IW,-0.046513682473396746,-0.3955815762998206,0.30255421135302707,0.0
50,sc4,29,Commensurate,-0.029892914108757617,-0.327062095465494,0.24935801588834372,0.0
50,sc4,29,NPE,0.27418452501296997,-0.31883320523813174,0.8762074463547127,0.0
50,sc4,30,PSPower,-0.02451467833120915,-0.2765071825246421,0.22747782586222384,0.0
50,sc4,30,IW,0.029193016512214558,-0.2505333964433819,0.30891942946781104,0.0
50,sc4,30,Commensurate,-0.02399721005224001,-0.25864365381666593,0.22726605180504705,0.0
50,sc4,30,NPE,0.3376203775405884,-0.22470932212847983,0.8834137418803298,0.0
